Training log for: no_gradient
Started: 2026-01-20 10:56:33
============================================================

Epoch 058 | Train 1.642e-02 | Val 2.174e-02 | D:6.1% σ:8.5% | LR 5.0e-05
Epoch 059 | Train 1.542e-02 | Val 1.517e-02 | D:5.2% σ:9.9% | LR 5.0e-05 ✓ SAVED
Epoch 060 | Train 1.556e-02 | Val 1.959e-02 | D:4.9% σ:9.2% | LR 5.0e-05
Epoch 061 | Train 1.490e-02 | Val 1.531e-02 | D:4.8% σ:8.6% | LR 5.0e-05
Epoch 062 | Train 1.411e-02 | Val 2.236e-02 | D:4.6% σ:9.9% | LR 5.0e-05
Epoch 063 | Train 1.462e-02 | Val 3.795e-02 | D:10.2% σ:11.2% | LR 5.0e-05
Epoch 064 | Train 1.400e-02 | Val 2.141e-02 | D:5.4% σ:10.7% | LR 5.0e-05
Epoch 065 | Train 1.393e-02 | Val 2.998e-02 | D:6.2% σ:10.6% | LR 5.0e-05
Epoch 066 | Train 1.443e-02 | Val 1.480e-02 | D:5.1% σ:7.8% | LR 5.0e-05 ✓ SAVED
Epoch 067 | Train 1.360e-02 | Val 1.771e-02 | D:6.7% σ:8.5% | LR 5.0e-05
Epoch 068 | Train 1.349e-02 | Val 3.181e-02 | D:5.3% σ:15.3% | LR 5.0e-05
Epoch 069 | Train 1.417e-02 | Val 1.746e-02 | D:4.8% σ:8.9% | LR 5.0e-05
Epoch 070 | Train 1.387e-02 | Val 1.314e-02 | D:4.4% σ:8.4% | LR 5.0e-05 ✓ SAVED
Epoch 071 | Train 1.434e-02 | Val 1.346e-02 | D:4.8% σ:8.4% | LR 5.0e-05
Epoch 072 | Train 1.496e-02 | Val 2.055e-02 | D:6.1% σ:8.5% | LR 5.0e-05
Epoch 073 | Train 1.349e-02 | Val 2.867e-02 | D:4.8% σ:10.5% | LR 5.0e-05
Epoch 074 | Train 1.263e-02 | Val 2.781e-02 | D:6.1% σ:9.8% | LR 5.0e-05
Epoch 075 | Train 1.257e-02 | Val 1.597e-02 | D:4.7% σ:9.6% | LR 5.0e-05
Epoch 076 | Train 1.381e-02 | Val 1.951e-02 | D:7.4% σ:8.2% | LR 5.0e-05
Epoch 077 | Train 1.241e-02 | Val 1.776e-02 | D:5.9% σ:9.3% | LR 5.0e-05
Epoch 078 | Train 1.260e-02 | Val 2.130e-02 | D:7.8% σ:8.7% | LR 5.0e-05
Epoch 079 | Train 1.225e-02 | Val 1.469e-02 | D:5.8% σ:7.8% | LR 5.0e-05
Epoch 080 | Train 1.231e-02 | Val 1.682e-02 | D:6.7% σ:8.1% | LR 5.0e-05
Epoch 081 | Train 1.238e-02 | Val 3.336e-02 | D:5.6% σ:10.9% | LR 5.0e-05
Epoch 082 | Train 1.248e-02 | Val 1.579e-02 | D:5.7% σ:8.7% | LR 5.0e-05
Epoch 083 | Train 1.175e-02 | Val 1.597e-02 | D:5.2% σ:8.8% | LR 5.0e-05
Epoch 084 | Train 1.220e-02 | Val 1.796e-02 | D:5.7% σ:8.6% | LR 5.0e-05
Epoch 085 | Train 1.243e-02 | Val 1.509e-02 | D:5.8% σ:8.2% | LR 5.0e-05
Epoch 086 | Train 1.201e-02 | Val 2.443e-02 | D:5.2% σ:9.9% | LR 2.5e-05
Epoch 087 | Train 1.107e-02 | Val 1.254e-02 | D:5.1% σ:7.5% | LR 2.5e-05 ✓ SAVED
Epoch 088 | Train 9.890e-03 | Val 1.387e-02 | D:4.9% σ:7.8% | LR 2.5e-05
Epoch 089 | Train 1.034e-02 | Val 2.321e-02 | D:4.2% σ:9.4% | LR 2.5e-05
Epoch 090 | Train 1.012e-02 | Val 1.449e-02 | D:4.5% σ:9.3% | LR 2.5e-05
Epoch 091 | Train 1.076e-02 | Val 1.256e-02 | D:4.5% σ:7.8% | LR 2.5e-05
Epoch 092 | Train 9.942e-03 | Val 1.823e-02 | D:4.6% σ:8.8% | LR 2.5e-05
Epoch 093 | Train 9.875e-03 | Val 1.713e-02 | D:5.0% σ:8.4% | LR 2.5e-05
Epoch 094 | Train 1.030e-02 | Val 1.168e-02 | D:4.1% σ:7.3% | LR 2.5e-05 ✓ SAVED
Epoch 095 | Train 1.013e-02 | Val 1.909e-02 | D:4.6% σ:8.7% | LR 2.5e-05
Epoch 096 | Train 9.641e-03 | Val 1.600e-02 | D:6.4% σ:9.9% | LR 2.5e-05
Epoch 097 | Train 1.015e-02 | Val 1.348e-02 | D:4.5% σ:7.6% | LR 2.5e-05
Epoch 098 | Train 9.827e-03 | Val 2.866e-02 | D:6.4% σ:13.6% | LR 2.5e-05
Epoch 099 | Train 9.811e-03 | Val 1.692e-02 | D:4.5% σ:8.1% | LR 2.5e-05
Epoch 100 | Train 1.026e-02 | Val 1.447e-02 | D:4.2% σ:8.1% | LR 2.5e-05

============================================================
Training completed: 2026-01-20 12:26:22
Best epoch: 94
Best val loss: 1.167699e-02
