Training log for: pure_cnn
Started: 2026-01-20 08:03:26
============================================================

Epoch 057 | Train 2.261e-02 | Val 5.091e-02 | D:11.7% σ:10.5% | LR 1.0e-04
Epoch 058 | Train 2.093e-02 | Val 4.283e-02 | D:8.2% σ:10.5% | LR 1.0e-04
Epoch 059 | Train 2.173e-02 | Val 4.386e-02 | D:11.2% σ:8.8% | LR 1.0e-04
Epoch 060 | Train 2.028e-02 | Val 4.186e-02 | D:9.5% σ:10.8% | LR 1.0e-04
Epoch 061 | Train 2.237e-02 | Val 5.494e-02 | D:7.3% σ:13.5% | LR 1.0e-04
Epoch 062 | Train 2.059e-02 | Val 6.906e-02 | D:7.3% σ:14.9% | LR 1.0e-04
Epoch 063 | Train 2.023e-02 | Val 3.244e-02 | D:7.9% σ:10.5% | LR 1.0e-04
Epoch 064 | Train 1.930e-02 | Val 2.920e-02 | D:6.4% σ:9.8% | LR 1.0e-04 ✓ SAVED
Epoch 065 | Train 1.807e-02 | Val 4.232e-02 | D:7.0% σ:12.0% | LR 1.0e-04
Epoch 066 | Train 1.867e-02 | Val 5.568e-02 | D:7.7% σ:11.5% | LR 1.0e-04
Epoch 067 | Train 2.009e-02 | Val 5.670e-02 | D:8.8% σ:12.5% | LR 1.0e-04
Epoch 068 | Train 1.894e-02 | Val 3.314e-02 | D:7.7% σ:9.8% | LR 1.0e-04
Epoch 069 | Train 1.947e-02 | Val 3.884e-02 | D:7.4% σ:10.8% | LR 1.0e-04
Epoch 070 | Train 1.843e-02 | Val 3.434e-02 | D:6.6% σ:10.0% | LR 1.0e-04
Epoch 071 | Train 1.775e-02 | Val 3.236e-02 | D:7.1% σ:9.1% | LR 1.0e-04
Epoch 072 | Train 1.766e-02 | Val 3.746e-02 | D:7.5% σ:11.3% | LR 1.0e-04
Epoch 073 | Train 1.949e-02 | Val 3.468e-02 | D:8.3% σ:9.6% | LR 1.0e-04
Epoch 074 | Train 1.745e-02 | Val 4.506e-02 | D:7.1% σ:17.2% | LR 1.0e-04
Epoch 075 | Train 1.841e-02 | Val 4.263e-02 | D:8.7% σ:10.7% | LR 1.0e-04
Epoch 076 | Train 1.798e-02 | Val 4.399e-02 | D:7.8% σ:12.9% | LR 1.0e-04
Epoch 077 | Train 1.724e-02 | Val 3.408e-02 | D:7.9% σ:9.3% | LR 1.0e-04
Epoch 078 | Train 1.676e-02 | Val 2.909e-02 | D:8.2% σ:9.6% | LR 1.0e-04 ✓ SAVED
Epoch 079 | Train 1.707e-02 | Val 5.804e-02 | D:9.0% σ:11.6% | LR 1.0e-04
Epoch 080 | Train 1.634e-02 | Val 3.551e-02 | D:8.3% σ:10.0% | LR 1.0e-04
Epoch 081 | Train 1.696e-02 | Val 3.672e-02 | D:12.6% σ:10.2% | LR 1.0e-04
Epoch 082 | Train 1.731e-02 | Val 3.702e-02 | D:7.4% σ:13.1% | LR 1.0e-04
Epoch 083 | Train 1.487e-02 | Val 5.374e-02 | D:6.3% σ:13.1% | LR 1.0e-04
Epoch 084 | Train 1.613e-02 | Val 2.829e-02 | D:6.8% σ:9.4% | LR 1.0e-04 ✓ SAVED
Epoch 085 | Train 1.534e-02 | Val 5.045e-02 | D:7.6% σ:11.9% | LR 1.0e-04
Epoch 086 | Train 1.615e-02 | Val 3.254e-02 | D:7.6% σ:9.3% | LR 1.0e-04
Epoch 087 | Train 1.472e-02 | Val 3.302e-02 | D:7.2% σ:9.1% | LR 1.0e-04
Epoch 088 | Train 1.554e-02 | Val 3.487e-02 | D:7.9% σ:11.1% | LR 1.0e-04
Epoch 089 | Train 1.470e-02 | Val 4.954e-02 | D:9.7% σ:12.9% | LR 1.0e-04
Epoch 090 | Train 1.635e-02 | Val 3.340e-02 | D:8.2% σ:10.0% | LR 1.0e-04
Epoch 091 | Train 1.498e-02 | Val 6.363e-02 | D:10.2% σ:12.4% | LR 1.0e-04
Epoch 092 | Train 1.412e-02 | Val 3.374e-02 | D:6.8% σ:8.6% | LR 1.0e-04
Epoch 093 | Train 1.528e-02 | Val 6.937e-02 | D:8.1% σ:14.9% | LR 1.0e-04
Epoch 094 | Train 1.497e-02 | Val 3.234e-02 | D:7.6% σ:10.8% | LR 1.0e-04
Epoch 095 | Train 1.451e-02 | Val 3.078e-02 | D:7.0% σ:9.6% | LR 1.0e-04
Epoch 096 | Train 1.465e-02 | Val 7.184e-02 | D:8.2% σ:17.6% | LR 1.0e-04
Epoch 097 | Train 1.417e-02 | Val 7.368e-02 | D:8.0% σ:15.0% | LR 1.0e-04
Epoch 098 | Train 1.458e-02 | Val 4.926e-02 | D:6.9% σ:12.7% | LR 1.0e-04
Epoch 099 | Train 1.479e-02 | Val 3.263e-02 | D:6.6% σ:10.8% | LR 1.0e-04
Epoch 100 | Train 1.454e-02 | Val 3.576e-02 | D:8.9% σ:10.1% | LR 5.0e-05

============================================================
Training completed: 2026-01-20 09:29:38
Best epoch: 84
Best val loss: 2.829126e-02
