Training log for: physics_loss_only
Started: 2026-01-20 12:26:22
============================================================

Epoch 057 | Train 2.616e-02 | Val 6.859e-02 | D:10.9% σ:12.2% | LR 1.0e-04
Epoch 058 | Train 2.505e-02 | Val 8.541e-02 | D:7.9% σ:15.7% | LR 1.0e-04
Epoch 059 | Train 2.425e-02 | Val 4.122e-02 | D:8.1% σ:10.6% | LR 1.0e-04
Epoch 060 | Train 2.347e-02 | Val 6.370e-02 | D:6.6% σ:12.2% | LR 1.0e-04
Epoch 061 | Train 2.480e-02 | Val 5.778e-02 | D:7.2% σ:11.5% | LR 1.0e-04
Epoch 062 | Train 2.373e-02 | Val 5.280e-02 | D:7.4% σ:14.0% | LR 1.0e-04
Epoch 063 | Train 2.376e-02 | Val 5.720e-02 | D:9.0% σ:17.3% | LR 1.0e-04
Epoch 064 | Train 2.327e-02 | Val 4.042e-02 | D:10.3% σ:9.9% | LR 1.0e-04
Epoch 065 | Train 2.285e-02 | Val 4.524e-02 | D:7.1% σ:9.6% | LR 1.0e-04
Epoch 066 | Train 2.278e-02 | Val 7.670e-02 | D:14.8% σ:17.2% | LR 1.0e-04
Epoch 067 | Train 2.277e-02 | Val 5.095e-02 | D:7.3% σ:10.2% | LR 1.0e-04
Epoch 068 | Train 2.435e-02 | Val 6.665e-02 | D:8.5% σ:14.6% | LR 1.0e-04
Epoch 069 | Train 2.019e-02 | Val 6.398e-02 | D:8.5% σ:13.6% | LR 1.0e-04
Epoch 070 | Train 2.221e-02 | Val 5.823e-02 | D:8.7% σ:12.5% | LR 5.0e-05
Epoch 071 | Train 1.881e-02 | Val 3.855e-02 | D:6.8% σ:9.1% | LR 5.0e-05
Epoch 072 | Train 1.735e-02 | Val 5.478e-02 | D:7.0% σ:12.8% | LR 5.0e-05
Epoch 073 | Train 1.643e-02 | Val 3.535e-02 | D:6.8% σ:10.9% | LR 5.0e-05 ✓ SAVED
Epoch 074 | Train 1.771e-02 | Val 3.552e-02 | D:6.1% σ:10.1% | LR 5.0e-05
Epoch 075 | Train 1.714e-02 | Val 3.511e-02 | D:6.3% σ:9.0% | LR 5.0e-05 ✓ SAVED
Epoch 076 | Train 1.680e-02 | Val 5.224e-02 | D:8.1% σ:12.3% | LR 5.0e-05
Epoch 077 | Train 1.629e-02 | Val 4.555e-02 | D:7.7% σ:10.6% | LR 5.0e-05
Epoch 078 | Train 1.630e-02 | Val 4.260e-02 | D:7.1% σ:9.7% | LR 5.0e-05
Epoch 079 | Train 1.633e-02 | Val 4.928e-02 | D:7.5% σ:10.7% | LR 5.0e-05
Epoch 080 | Train 1.573e-02 | Val 3.858e-02 | D:6.3% σ:9.4% | LR 5.0e-05
Epoch 081 | Train 1.637e-02 | Val 4.779e-02 | D:6.8% σ:10.7% | LR 5.0e-05
Epoch 082 | Train 1.523e-02 | Val 4.154e-02 | D:7.6% σ:9.5% | LR 5.0e-05
Epoch 083 | Train 1.517e-02 | Val 4.767e-02 | D:6.4% σ:11.2% | LR 5.0e-05
Epoch 084 | Train 1.603e-02 | Val 4.141e-02 | D:6.3% σ:10.2% | LR 5.0e-05
Epoch 085 | Train 1.618e-02 | Val 4.188e-02 | D:7.8% σ:9.9% | LR 5.0e-05
