run_id,D_mJpm2,sigma,Temp,returncode,duration_s,run_dir
50,0.3214285714285714,0.0428571428571428,0.0,0,52.98426365852356,mumax_dataset_ku_by_block_disorder/run_00050
51,0.3214285714285714,0.0535714285714285,0.0,0,48.2792227268219,mumax_dataset_ku_by_block_disorder/run_00051
52,0.3214285714285714,0.0642857142857142,0.0,0,50.992578983306885,mumax_dataset_ku_by_block_disorder/run_00052
53,0.3214285714285714,0.075,0.0,0,47.13181757926941,mumax_dataset_ku_by_block_disorder/run_00053
54,0.3214285714285714,0.0857142857142857,0.0,0,48.94587779045105,mumax_dataset_ku_by_block_disorder/run_00054
55,0.3214285714285714,0.0964285714285714,0.0,0,60.73545694351196,mumax_dataset_ku_by_block_disorder/run_00055
56,0.3214285714285714,0.1071428571428571,0.0,0,57.4491548538208,mumax_dataset_ku_by_block_disorder/run_00056
57,0.3214285714285714,0.1178571428571428,0.0,0,47.63543629646301,mumax_dataset_ku_by_block_disorder/run_00057
58,0.3214285714285714,0.1285714285714285,0.0,0,49.09409523010254,mumax_dataset_ku_by_block_disorder/run_00058
59,0.3214285714285714,0.1392857142857143,0.0,0,51.29519486427307,mumax_dataset_ku_by_block_disorder/run_00059
60,0.3214285714285714,0.15,0.0,0,54.23063802719116,mumax_dataset_ku_by_block_disorder/run_00060
61,0.4285714285714286,0.0,0.0,0,56.48670172691345,mumax_dataset_ku_by_block_disorder/run_00061
62,0.4285714285714286,0.0107142857142857,0.0,0,47.51355004310608,mumax_dataset_ku_by_block_disorder/run_00062
63,0.4285714285714286,0.0214285714285714,0.0,0,50.199148654937744,mumax_dataset_ku_by_block_disorder/run_00063
64,0.4285714285714286,0.0321428571428571,0.0,0,48.97439384460449,mumax_dataset_ku_by_block_disorder/run_00064
65,0.4285714285714286,0.0428571428571428,0.0,0,47.63660001754761,mumax_dataset_ku_by_block_disorder/run_00065
66,0.4285714285714286,0.0535714285714285,0.0,0,50.94610548019409,mumax_dataset_ku_by_block_disorder/run_00066
67,0.4285714285714286,0.0642857142857142,0.0,0,47.660887241363525,mumax_dataset_ku_by_block_disorder/run_00067
68,0.4285714285714286,0.075,0.0,0,47.5864622592926,mumax_dataset_ku_by_block_disorder/run_00068
69,0.4285714285714286,0.0857142857142857,0.0,0,47.395134925842285,mumax_dataset_ku_by_block_disorder/run_00069
70,0.4285714285714286,0.0964285714285714,0.0,0,47.35758924484253,mumax_dataset_ku_by_block_disorder/run_00070
71,0.4285714285714286,0.1071428571428571,0.0,0,47.30168533325195,mumax_dataset_ku_by_block_disorder/run_00071
72,0.4285714285714286,0.1178571428571428,0.0,0,47.91959834098816,mumax_dataset_ku_by_block_disorder/run_00072
73,0.4285714285714286,0.1285714285714285,0.0,0,50.404698848724365,mumax_dataset_ku_by_block_disorder/run_00073
74,0.4285714285714286,0.1392857142857143,0.0,0,48.687363386154175,mumax_dataset_ku_by_block_disorder/run_00074
75,0.4285714285714286,0.15,0.0,0,50.38911318778992,mumax_dataset_ku_by_block_disorder/run_00075
76,0.5357142857142857,0.0,0.0,0,69.77764511108398,mumax_dataset_ku_by_block_disorder/run_00076
77,0.5357142857142857,0.0107142857142857,0.0,0,55.62756562232971,mumax_dataset_ku_by_block_disorder/run_00077
78,0.5357142857142857,0.0214285714285714,0.0,0,46.97876501083374,mumax_dataset_ku_by_block_disorder/run_00078
79,0.5357142857142857,0.0321428571428571,0.0,0,47.642174243927,mumax_dataset_ku_by_block_disorder/run_00079
80,0.5357142857142857,0.0428571428571428,0.0,0,54.78850340843201,mumax_dataset_ku_by_block_disorder/run_00080
81,0.5357142857142857,0.0535714285714285,0.0,0,52.5627338886261,mumax_dataset_ku_by_block_disorder/run_00081
82,0.5357142857142857,0.0642857142857142,0.0,0,48.33904767036438,mumax_dataset_ku_by_block_disorder/run_00082
83,0.5357142857142857,0.075,0.0,0,50.460192918777466,mumax_dataset_ku_by_block_disorder/run_00083
84,0.5357142857142857,0.0857142857142857,0.0,0,47.22447395324707,mumax_dataset_ku_by_block_disorder/run_00084
85,0.5357142857142857,0.0964285714285714,0.0,0,47.32486128807068,mumax_dataset_ku_by_block_disorder/run_00085
86,0.5357142857142857,0.1071428571428571,0.0,0,48.13095545768738,mumax_dataset_ku_by_block_disorder/run_00086
87,0.5357142857142857,0.1178571428571428,0.0,0,47.98492765426636,mumax_dataset_ku_by_block_disorder/run_00087
88,0.5357142857142857,0.1285714285714285,0.0,0,61.84019708633423,mumax_dataset_ku_by_block_disorder/run_00088
89,0.5357142857142857,0.1392857142857143,0.0,0,63.2387957572937,mumax_dataset_ku_by_block_disorder/run_00089
90,0.5357142857142857,0.15,0.0,0,59.093586921691895,mumax_dataset_ku_by_block_disorder/run_00090
91,0.6428571428571429,0.0,0.0,0,83.47676706314087,mumax_dataset_ku_by_block_disorder/run_00091
92,0.6428571428571429,0.0107142857142857,0.0,0,48.88756799697876,mumax_dataset_ku_by_block_disorder/run_00092
93,0.6428571428571429,0.0214285714285714,0.0,0,52.73802924156189,mumax_dataset_ku_by_block_disorder/run_00093
94,0.6428571428571429,0.0321428571428571,0.0,0,50.43281126022339,mumax_dataset_ku_by_block_disorder/run_00094
95,0.6428571428571429,0.0428571428571428,0.0,0,46.678797006607056,mumax_dataset_ku_by_block_disorder/run_00095
96,0.6428571428571429,0.0535714285714285,0.0,0,48.32290530204773,mumax_dataset_ku_by_block_disorder/run_00096
97,0.6428571428571429,0.0642857142857142,0.0,0,49.868714570999146,mumax_dataset_ku_by_block_disorder/run_00097
98,0.6428571428571429,0.075,0.0,0,47.78488755226135,mumax_dataset_ku_by_block_disorder/run_00098
99,0.6428571428571429,0.0857142857142857,0.0,0,47.84274315834045,mumax_dataset_ku_by_block_disorder/run_00099
100,0.6428571428571429,0.0964285714285714,0.0,0,53.19304776191712,mumax_dataset_ku_by_block_disorder/run_00100
101,0.6428571428571429,0.1071428571428571,0.0,0,51.22139620780945,mumax_dataset_ku_by_block_disorder/run_00101
102,0.6428571428571429,0.1178571428571428,0.0,0,47.6552951335907,mumax_dataset_ku_by_block_disorder/run_00102
103,0.6428571428571429,0.1285714285714285,0.0,0,47.682581663131714,mumax_dataset_ku_by_block_disorder/run_00103
104,0.6428571428571429,0.1392857142857143,0.0,0,47.73731780052185,mumax_dataset_ku_by_block_disorder/run_00104
105,0.6428571428571429,0.15,0.0,0,48.2299394607544,mumax_dataset_ku_by_block_disorder/run_00105
106,0.75,0.0,0.0,0,62.84836864471436,mumax_dataset_ku_by_block_disorder/run_00106
107,0.75,0.0107142857142857,0.0,0,46.64467191696167,mumax_dataset_ku_by_block_disorder/run_00107
108,0.75,0.0214285714285714,0.0,0,46.389453411102295,mumax_dataset_ku_by_block_disorder/run_00108
109,0.75,0.0321428571428571,0.0,0,49.09603047370911,mumax_dataset_ku_by_block_disorder/run_00109
110,0.75,0.0428571428571428,0.0,0,48.17708086967468,mumax_dataset_ku_by_block_disorder/run_00110
111,0.75,0.0535714285714285,0.0,0,47.78692746162415,mumax_dataset_ku_by_block_disorder/run_00111
112,0.75,0.0642857142857142,0.0,0,48.68185496330261,mumax_dataset_ku_by_block_disorder/run_00112
113,0.75,0.075,0.0,0,47.02704453468323,mumax_dataset_ku_by_block_disorder/run_00113
114,0.75,0.0857142857142857,0.0,0,47.66063570976257,mumax_dataset_ku_by_block_disorder/run_00114
115,0.75,0.0964285714285714,0.0,0,50.57345676422119,mumax_dataset_ku_by_block_disorder/run_00115
116,0.75,0.1071428571428571,0.0,0,51.21960520744324,mumax_dataset_ku_by_block_disorder/run_00116
117,0.75,0.1178571428571428,0.0,0,47.52145719528198,mumax_dataset_ku_by_block_disorder/run_00117
118,0.75,0.1285714285714285,0.0,0,49.51115298271179,mumax_dataset_ku_by_block_disorder/run_00118
119,0.75,0.1392857142857143,0.0,0,47.9131543636322,mumax_dataset_ku_by_block_disorder/run_00119
120,0.75,0.15,0.0,0,49.08944749832153,mumax_dataset_ku_by_block_disorder/run_00120
121,0.8571428571428572,0.0,0.0,0,61.83903121948242,mumax_dataset_ku_by_block_disorder/run_00121
